PointID,Easting,Northing,Elevation,Code
CL1,450251.15,2589600.50,210.55,CL
CL2,450250.88,2589620.30,210.41,CL
CL3,450251.05,2589640.80,210.29,CL
CL4,450250.92,2589660.10,210.15,CL
CL5,450251.21,2589680.60,210.03,CL
CL6,450250.79,2589700.40,209.89,CL
CL7,450250.99,2589720.90,209.75,CL
CL8,450251.10,2589740.20,209.61,CL
P1,450225.45,2589605.32,211.85,GR
P2,450280.11,2589608.91,209.21,GR
P3,450230.78,2589612.45,211.53,GR
P4,450275.63,2589615.88,209.43,GR
P5,450215.92,2589619.10,212.44,TREE
P6,450290.48,2589622.73,208.68,GR
P7,450240.21,2589625.56,210.91,GR
P8,450265.99,2589629.34,209.91,GR
P9,450222.88,2589632.12,211.99,GR
P10,450285.34,2589635.67,208.95,GR
P11,450235.19,2589639.43,211.21,GR
P12,450270.83,2589642.98,209.66,GR
P13,450218.43,2589646.21,212.23,GR
P14,450295.12,2589649.87,208.45,BLDG
P15,450245.76,2589652.76,210.64,GR
P16,450260.43,2589656.41,210.19,GR
P17,450228.11,2589659.89,211.69,GR
P18,450288.76,2589663.54,208.78,GR
P19,450238.98,2589667.23,211.02,GR
P20,450273.54,2589670.67,209.54,GR
P21,450219.99,2589674.43,212.11,GR
P22,450292.83,2589678.01,208.57,GR
P23,450248.32,2589681.98,210.49,GR
P24,450255.67,2589685.12,210.22,GR
P25,450221.43,2589688.76,212.01,TREE
P26,450281.99,2589692.43,209.11,GR
P27,450233.87,2589695.99,211.32,GR
P28,450278.43,2589699.76,209.29,GR
P29,450224.56,2589703.21,211.82,GR
P30,450283.78,2589706.87,209.02,GR
P31,450242.11,2589710.43,210.83,GR
P32,450268.45,2589714.11,209.78,GR
P33,450220.76,2589717.89,212.05,GR
P34,450298.32,2589721.43,208.23,GR
P35,450249.99,2589725.76,210.38,GR
P36,450258.12,2589729.34,210.11,GR
P37,450226.78,2589732.99,211.75,GR
P38,450286.99,2589736.65,208.85,BLDG
P39,450237.43,2589740.12,211.11,GR
P40,450276.87,2589743.78,209.38,GR
P41,450223.45,2589606.32,211.95,GR
P42,450281.11,2589609.91,209.11,GR
P43,450231.78,2589613.45,211.43,GR
P44,450276.63,2589616.88,209.33,GR
P45,450216.92,2589620.10,212.34,GR
P46,450291.48,2589623.73,208.58,GR
P47,450241.21,2589626.56,210.81,GR
P48,450266.99,2589630.34,209.81,GR
P49,450223.88,2589633.12,211.89,GR
P50,450286.34,2589636.67,208.85,GR
P51,450236.19,2589640.43,211.11,GR
P52,450271.83,2589643.98,209.56,GR
P53,450219.43,2589647.21,212.13,GR
P54,450296.12,2589650.87,208.35,GR
P55,450246.76,2589653.76,210.54,GR
P56,450261.43,2589657.41,210.09,GR
P57,450229.11,2589660.89,211.59,GR
P58,450289.76,2589664.54,208.68,GR
P59,450239.98,2589668.23,210.92,GR
P60,450274.54,2589671.67,209.44,GR
P61,450220.99,2589675.43,212.01,GR
P62,450293.83,2589679.01,208.47,GR
P63,450249.32,2589682.98,210.39,GR
P64,450256.67,2589686.12,210.12,GR
P65,450222.43,2589689.76,211.91,GR
P66,450282.99,2589693.43,209.01,GR
P67,450234.87,2589696.99,211.22,GR
P68,450279.43,2589700.76,209.19,GR
P69,450225.56,2589704.21,211.72,GR
P70,450284.78,2589707.87,208.92,GR
P71,450243.11,2589711.43,210.73,GR
P72,450269.45,2589715.11,209.68,GR
P73,450221.76,2589718.89,211.95,GR
P74,450299.32,2589722.43,208.13,GR
P75,450250.99,2589726.76,210.28,GR
P76,450259.12,2589730.34,210.01,GR
P77,450227.78,2589733.99,211.65,GR
P78,450287.99,2589737.65,208.75,GR
P79,450238.43,2589741.12,211.01,GR
P80,450277.87,2589744.78,209.28,GR
P81,450215.33,2589604.81,212.51,GR
P82,450299.88,2589608.23,208.11,BLDG
P83,450233.15,2589611.95,211.39,GR
P84,450269.21,2589615.17,209.73,GR
P85,450218.01,2589618.59,212.28,TREE
P86,450294.76,2589622.04,208.48,GR
P87,450237.56,2589624.93,211.11,GR
P88,450263.82,2589628.76,210.04,GR
P89,450225.19,2589631.47,211.83,GR
P90,450281.45,2589635.03,209.15,GR
P91,450230.38,2589638.74,211.51,GR
P92,450274.99,2589642.18,209.47,GR
P93,450220.57,2589645.62,212.09,GR
P94,450290.81,2589649.25,208.69,GR
P95,450242.42,2589652.09,210.80,GR
P96,450258.73,2589655.88,210.15,GR
P97,450231.29,2589659.18,211.46,GR
P98,450284.61,2589662.91,208.97,GR
P99,450241.11,2589666.57,210.91,GR
P100,450271.78,2589670.06,209.61,GR
P101,450223.33,2589673.84,211.90,TREE
P102,450296.53,2589677.38,208.38,GR
P103,450244.97,2589681.21,210.68,GR
P104,450253.38,2589684.55,210.31,GR
P105,450227.06,2589688.07,211.72,GR
P106,450280.14,2589691.82,209.20,GR
P107,450236.44,2589695.36,211.19,GR
P108,450276.13,2589699.04,209.41,GR
P109,450228.89,2589702.66,211.62,GR
P110,450287.03,2589706.19,208.84,GR
P111,450240.29,2589709.81,210.96,GR
P112,450265.55,2589713.52,209.93,GR
P113,450224.64,2589717.15,211.85,GR
P114,450292.17,2589720.88,208.61,BLDG
P115,450247.78,2589724.94,210.53,GR
P116,450251.87,2589728.69,210.35,GR
P117,450232.09,2589732.27,211.42,GR
P118,450289.54,2589735.98,208.71,GR
P119,450234.71,2589739.53,211.28,GR
P120,450279.39,2589743.11,209.25,GR
